geo_code,age_group,population
E06000050,35-39,19955.00
E06000050,40-44,19432.00
E06000050,45-49,24115.00
E06000050,50-54,25587.00
E06000050,55-59,24201.00
E06000050,60-64,20852.00
E06000050,65-69,20144.00
E06000050,70-74,19822.00
E06000050,75-79,13571.00
E06000050,80-84,9980.00
E06000050,85-89,5979.00
E06000050,90+,3449.00
E06000050,All ages,340502.00
E06000006,0-4,7676.00
E06000006,5-9,8488.00
E06000006,10-14,8148.00
E06000006,15-19,7075.00
E06000006,20-24,7016.00
E06000006,25-29,7934.00
E06000006,30-34,8387.00
E06000006,35-39,8102.00
E06000006,40-44,7469.00
E06000006,45-49,9046.00
E06000006,50-54,8933.00
E06000006,55-59,8922.00
E06000006,60-64,7980.00
E06000006,65-69,7538.00
E06000006,70-74,6411.00
E06000006,75-79,4025.00
E06000006,80-84,2918.00
E06000006,85-89,1606.00
E06000006,90+,758.00
E06000006,All ages,128432.00
E06000007,0-4,11933.00
E06000007,5-9,13102.00
E06000007,10-14,12351.00
E06000007,15-19,11365.00
E06000007,20-24,10654.00
E06000007,25-29,12838.00
E06000007,30-34,13457.00
E06000007,35-39,13716.00
E06000007,40-44,12962.00
E06000007,45-49,15653.00
E06000007,50-54,16329.00
E06000007,55-59,14600.00
E06000007,60-64,11704.00
E06000007,65-69,10758.00
E06000007,70-74,10746.00
E06000007,75-79,7639.00
E06000007,80-84,5308.00
E06000007,85-89,2877.00
E06000007,90+,1555.00
E06000007,All ages,209547.00
E10000006,0-4,24066.00
E10000006,5-9,26446.00
E10000006,10-14,26606.00
E10000006,15-19,25072.00
E10000006,20-24,24418.00
E10000006,25-29,26708.00
E10000006,30-34,25737.00
E10000006,35-39,26768.00
E10000006,40-44,26192.00
E10000006,45-49,34951.00
E10000006,50-54,39147.00
E10000006,55-59,38369.00
E10000006,60-64,34234.00
E10000006,65-69,33517.00
E10000006,70-74,32374.00
E10000006,75-79,22497.00
E10000006,80-84,16247.00
E10000006,85-89,9848.00
E10000006,90+,5691.00
E10000006,All ages,498888.00
E07000026,0-4,4654.00
E07000026,5-9,5323.00
E07000026,10-14,5151.00
E07000026,15-19,4985.00
E07000026,20-24,4662.00
E07000026,25-29,5173.00
E07000026,30-34,4964.00
E07000026,35-39,5212.00
E07000026,40-44,4975.00
E07000026,45-49,6951.00
E07000026,50-54,7823.00
E07000026,55-59,7322.00
E07000026,60-64,6641.00
E07000026,65-69,6716.00
E07000026,70-74,6321.00
E07000026,75-79,4424.00
E07000026,80-84,3194.00
E07000026,85-89,1926.00
E07000026,90+,1110.00
E07000026,All ages,97527.00
E07000027,0-4,3710.00
E07000027,5-9,3670.00
E07000027,10-14,3735.00
E07000027,15-19,3531.00
E07000027,20-24,3743.00
E07000027,25-29,4085.00
E07000027,30-34,3987.00
E07000027,35-39,3637.00
E07000027,40-44,3547.00
E07000027,45-49,4722.00
E07000027,50-54,5335.00
E07000027,55-59,4849.00
E07000027,60-64,4132.00
E07000027,65-69,4010.00
E07000027,70-74,4020.00
E07000027,75-79,2897.00
E07000027,80-84,1912.00
E07000027,85-89,1060.00
E07000027,90+,555.00
E07000027,All ages,67137.00
E07000028,0-4,5909.00
E07000028,5-9,6280.00
E07000028,10-14,5935.00
E07000028,15-19,5394.00
E07000028,20-24,5914.00
E07000028,25-29,6452.00
E07000028,30-34,6094.00
E07000028,35-39,6471.00
E07000028,40-44,6034.00
E07000028,45-49,7584.00
E07000028,50-54,7928.00
E07000028,55-59,8128.00
E07000028,60-64,6901.00
E07000028,65-69,6630.00
E07000028,70-74,6043.00
E07000028,75-79,4337.00
E07000028,80-84,3234.00
E07000028,85-89,1973.00
E07000028,90+,1146.00
E07000028,All ages,108387.00
E07000029,0-4,3474.00
