geo_code,sex,age,White,Mixed,Asian,Black,Other
E06000007,1,75,767,3,7,2,2 
E06000007,1,76,693,0,9,1,4 
E06000007,1,77,616,3,7,2,2 
E06000007,1,78,649,2,16,1,1 
E06000007,1,79,630,0,6,2,1 
E06000007,1,80,566,2,4,1,0 
E06000007,1,81,500,2,3,1,1 
E06000007,1,82,472,2,6,0,0 
E06000007,1,83,424,1,3,0,1 
E06000007,1,84,377,1,3,0,0 
E06000007,1,85,316,1,3,0,1 
E06000007,1,86,246,2,2,0,0 
E06000007,1,87,220,0,0,0,0 
E06000007,1,88,154,0,0,1,1 
E06000007,1,89,148,0,0,0,0 
E06000007,1,90,480,1,2,0,0 
E06000008,1,0,567,21,375,7,17 
E06000008,1,1,603,22,399,7,19 
E06000008,1,2,631,23,417,8,19 
E06000008,1,3,627,23,415,8,19 
E06000008,1,4,621,23,410,8,19 
E06000008,1,5,661,24,437,8,20 
E06000008,1,6,687,25,454,8,21 
E06000008,1,7,634,23,419,8,20 
E06000008,1,8,619,35,477,10,5 
E06000008,1,9,589,26,462,10,6 
E06000008,1,10,645,29,428,11,12 
E06000008,1,11,590,28,407,9,16 
E06000008,1,12,581,33,427,14,6 
E06000008,1,13,615,22,451,7,6 
E06000008,1,14,579,19,430,11,11 
E06000008,1,15,572,17,469,2,5 
E06000008,1,16,560,27,428,3,5 
E06000008,1,17,548,16,406,10,6 
E06000008,1,18,633,18,421,2,6 
E06000008,1,19,525,17,396,8,3 
E06000008,1,20,470,25,370,6,3 
E06000008,1,21,581,18,356,4,3 
E06000008,1,22,600,22,368,8,5 
E06000008,1,23,623,22,406,7,11 
E06000008,1,24,634,17,337,12,18 
E06000008,1,25,622,21,327,5,1 
E06000008,1,26,672,17,385,5,9 
E06000008,1,27,665,24,300,2,6 
E06000008,1,28,626,14,328,7,26 
E06000008,1,29,609,16,317,8,7 
E06000008,1,30,611,15,307,4,10 
E06000008,1,31,619,13,347,0,9 
E06000008,1,32,580,10,404,8,25 
E06000008,1,33,599,21,367,5,22 
E06000008,1,34,587,11,342,4,59 
E06000008,1,35,643,12,389,5,43 
E06000008,1,36,656,10,391,13,64 
E06000008,1,37,613,10,417,9,11 
E06000008,1,38,495,15,433,5,41 
E06000008,1,39,533,8,380,4,13 
E06000008,1,40,523,9,395,11,23 
E06000008,1,41,537,12,377,7,30 
E06000008,1,42,519,5,316,4,25 
E06000008,1,43,548,19,333,16,19 
E06000008,1,44,662,16,345,8,7 
E06000008,1,45,578,9,317,8,21 
E06000008,1,46,685,8,301,9,8 
E06000008,1,47,696,11,266,8,10 
E06000008,1,48,699,10,332,5,3 
E06000008,1,49,763,9,268,15,3 
